Parameters:TimeZone=America/New_York
GCLID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
EAIaIQobChMI5fHU1da6jAMVtnFHAR3xkjxREAAYAiAAEgKkT_D_BwE,Qualified Lead,4/3/2025 12:00:00 AM America/New_York,200,USD
CjwKCAjwv8qkBhAnEiwAkY-ahkc5GA5tnodKpMpcVMYpwnHwVtpAl2rYlrhlSrAniftvDTGsNLlI6xoCy9UQAvD_BwE,Qualified Lead,2/1/2024 12:00:00 AM America/New_York,200,USD
Cj0KCQjwtMHEBhC-ARIsABua5iStt8gRvM1Co8HpoEPgRPPd_8k0k8a789uMUndWELXmHtGVMWmxtLoaAn_qEALw_wcB,Qualified Lead,8/6/2025 12:00:00 AM America/New_York,200,USD
EAIaIQobChMIqqfO5q2LiAMV2V5HAR02qhs7EAAYASAAEgL6Z_D_BwE,Qualified Lead,9/13/2024 12:00:00 AM America/New_York,200,USD
EAIaIQobChMIkOmanujxhwMVLTMIBR17NhbFEAAYASABEgJuF_D_BwE,Qualified Lead,8/13/2024 12:00:00 AM America/New_York,200,USD
EAIaIQobChMIkOmanujxhwMVLTMIBR17NhbFEAAYASABEgJuF_D_BwE,Qualified Lead,8/28/2024 12:00:00 AM America/New_York,200,USD
EAIaIQobChMIkOmanujxhwMVLTMIBR17NhbFEAAYASABEgJuF_D_BwE,Qualified Lead,9/28/2016 12:00:00 AM America/New_York,200,USD
EAIaIQobChMIkOmanujxhwMVLTMIBR17NhbFEAAYASABEgJuF_D_BwE,Sold Job,8/28/2024 12:00:01 AM America/New_York,203,USD
EAIaIQobChMIkOmanujxhwMVLTMIBR17NhbFEAAYASABEgJuF_D_BwE,Sold Job,8/28/2024 12:00:01 AM America/New_York,10000,USD
EAIaIQobChMIgtyslpeNhgMVDVFHAR2owAL7EAAYASAAEgJAjvD_BwE,Qualified Lead,5/20/2024 12:00:00 AM America/New_York,200,USD
Cj0KCQjwsc24BhDPARIsAFXqAB0UFBaE8lYwHiSkPhIas7E-aEyTTrpm15LN5lgnSaFv3rn6B9PeQP0aAt7GEALw_wcB,Qualified Lead,10/28/2024 12:00:00 AM America/New_York,200,USD
Cj0KCQjwsc24BhDPARIsAFXqAB0UFBaE8lYwHiSkPhIas7E-aEyTTrpm15LN5lgnSaFv3rn6B9PeQP0aAt7GEALw_wcB,Qualified Lead,10/22/2024 12:00:00 AM America/New_York,200,USD
Cj0KCQjwsc24BhDPARIsAFXqAB0UFBaE8lYwHiSkPhIas7E-aEyTTrpm15LN5lgnSaFv3rn6B9PeQP0aAt7GEALw_wcB,Qualified Lead,6/22/2022 12:00:00 AM America/New_York,200,USD
Cj0KCQjwsc24BhDPARIsAFXqAB0UFBaE8lYwHiSkPhIas7E-aEyTTrpm15LN5lgnSaFv3rn6B9PeQP0aAt7GEALw_wcB,Qualified Lead,12/16/2024 12:00:00 AM America/New_York,200,USD
Cj0KCQjwsc24BhDPARIsAFXqAB0UFBaE8lYwHiSkPhIas7E-aEyTTrpm15LN5lgnSaFv3rn6B9PeQP0aAt7GEALw_wcB,Sold Job,12/16/2024 12:00:01 AM America/New_York,15280,USD
Cj0KCQjwsc24BhDPARIsAFXqAB0UFBaE8lYwHiSkPhIas7E-aEyTTrpm15LN5lgnSaFv3rn6B9PeQP0aAt7GEALw_wcB,Sold Job,12/16/2024 12:00:01 AM America/New_York,22480,USD
Cj0KCQjwsc24BhDPARIsAFXqAB0UFBaE8lYwHiSkPhIas7E-aEyTTrpm15LN5lgnSaFv3rn6B9PeQP0aAt7GEALw_wcB,Sold Job,12/20/2024 12:00:00 AM America/New_York,3288,USD
EAIaIQobChMI2rbrwtCakwMVUEL_AR007TZ-EAAYAiALEgLmaPD_BwE,Qualified Lead,3/12/2026 12:00:00 AM America/New_York,200,USD
EAIaIQobChMI2rbrwtCakwMVUEL_AR007TZ-EAAYAiALEgLmaPD_BwE,Qualified Lead,3/20/2026 12:00:00 AM America/New_York,200,USD
EAIaIQobChMI2rbrwtCakwMVUEL_AR007TZ-EAAYAiALEgLmaPD_BwE,Sold Job,3/20/2026 12:00:01 AM America/New_York,18000,USD
Cj0KCQjw2ZfABhDBARIsAHFTxGyVgQ2xTeKUa6G2dUYITzTcdOBiJMrIsq6hm1XTYe8JQpdKSe8Oj8MaAndVEALw_wcB,Qualified Lead,4/21/2025 12:00:00 AM America/New_York,200,USD
