Parameters:TimeZone=America/New_York,,,,
GCLID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
Cj0KCQjw2_TQBhCnARIsAF3-XhwEe-oYJHlZMEogXS9VnAfdUuUc9Rx-xq1XcjLnJOj2KeCuNjQQc3IaAqEzEALw_wcB,Qualified Lead,6/1/2026 4:10:00 PM America/New_York,200,USD
CjwKCAjwhJukBhBPEiwAniIcNexFR3ByrvgjRQFoHzvinRbxuNAz8YrCnXWC5vVg5vCJZ5cyor0ytBoCrsEQAvD_BwE,Qualified Lead,6/18/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjwhJukBhBPEiwAniIcNexFR3ByrvgjRQFoHzvinRbxuNAz8YrCnXWC5vVg5vCJZ5cyor0ytBoCrsEQAvD_BwE,Sold Job,6/18/2026 12:00:01 AM America/New_York,10659,USD
CjwKCAjwhJukBhBPEiwAniIcNexFR3ByrvgjRQFoHzvinRbxuNAz8YrCnXWC5vVg5vCJZ5cyor0ytBoCrsEQAvD_BwE,Sold Job,6/18/2026 12:00:01 AM America/New_York,9666,USD
Cj0KCQiAm9fLBhCQARIsAJoNOcvX1tPUws8oyH3girR1pAQOI9rbZM5vD33rdr3Ky6wxxu4TC7tVDg0aAhV-EALw_wcB,Qualified Lead,6/5/2026 12:00:00 AM America/New_York,200,USD
Cj0KCQiAm9fLBhCQARIsAJoNOcvX1tPUws8oyH3girR1pAQOI9rbZM5vD33rdr3Ky6wxxu4TC7tVDg0aAhV-EALw_wcB,Sold Job,6/5/2026 12:00:01 AM America/New_York,0,USD
Cj0KCQiAm9fLBhCQARIsAJoNOcvX1tPUws8oyH3girR1pAQOI9rbZM5vD33rdr3Ky6wxxu4TC7tVDg0aAhV-EALw_wcB,Sold Job,6/5/2026 12:00:01 AM America/New_York,17253,USD
CjwKCAjwysipBhBXEiwApJOcu07HjuiCn5IR1zd0M087S5wUrRaHoZ0-Tsd3M5bd77jiJwxENN5ENxoCHa8QAvD_BwE,Qualified Lead,6/8/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjwysipBhBXEiwApJOcu07HjuiCn5IR1zd0M087S5wUrRaHoZ0-Tsd3M5bd77jiJwxENN5ENxoCHa8QAvD_BwE,Sold Job,6/8/2026 12:00:01 AM America/New_York,1250,USD
CjwKCAjwysipBhBXEiwApJOcu07HjuiCn5IR1zd0M087S5wUrRaHoZ0-Tsd3M5bd77jiJwxENN5ENxoCHa8QAvD_BwE,Sold Job,6/8/2026 12:00:01 AM America/New_York,2778,USD
CjwKCAjwysipBhBXEiwApJOcu07HjuiCn5IR1zd0M087S5wUrRaHoZ0-Tsd3M5bd77jiJwxENN5ENxoCHa8QAvD_BwE,Sold Job,6/8/2026 12:00:01 AM America/New_York,9267,USD
CjwKCAjwysipBhBXEiwApJOcu07HjuiCn5IR1zd0M087S5wUrRaHoZ0-Tsd3M5bd77jiJwxENN5ENxoCHa8QAvD_BwE,Sold Job,6/10/2026 12:00:00 AM America/New_York,17898,USD
Cj0KCQjw3K7RBhDJARIsAKRtP5SvbEyWkOZogWLuLoz-rooXQbKwLHb3j_GeCGW9MWD5-waHv7zdq70aAvMKEALw_wcB,Qualified Lead,6/12/2026 12:00:00 AM America/New_York,200,USD
Cj0KCQjw3K7RBhDJARIsAKRtP5SvbEyWkOZogWLuLoz-rooXQbKwLHb3j_GeCGW9MWD5-waHv7zdq70aAvMKEALw_wcB,Qualified Lead,6/19/2026 12:00:00 AM America/New_York,200,USD
Cj0KCQjw3K7RBhDJARIsAKRtP5SvbEyWkOZogWLuLoz-rooXQbKwLHb3j_GeCGW9MWD5-waHv7zdq70aAvMKEALw_wcB,Sold Job,6/19/2026 12:00:01 AM America/New_York,33000,USD
Cj0KCQjw3K7RBhDJARIsAKRtP5SvbEyWkOZogWLuLoz-rooXQbKwLHb3j_GeCGW9MWD5-waHv7zdq70aAvMKEALw_wcB,Sold Job,6/19/2026 12:00:01 AM America/New_York,9000,USD
