Parameters:TimeZone=America/New_York,,,,
GCLID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
EAIaIQobChMI6LbwpoTzlQMVTFBHAR0qyA-zEAAYASAAEgKAOfD_BwE,Qualified Lead,7/27/2026 10:19:00 AM America/New_York,200,USD
CjwKCAjwysipBhBXEiwApJOcu07HjuiCn5IR1zd0M087S5wUrRaHoZ0-Tsd3M5bd77jiJwxENN5ENxoCHa8QAvD_BwE,Qualified Lead,7/8/2026 12:00:00 AM America/New_York,200,USD
EAIaIQobChMI3fKu6KbrlQMVSjcIBR2y5iaQEAAYASAdEgJKM_D_BwE,Qualified Lead,7/27/2026 12:00:00 AM America/New_York,200,USD
EAIaIQobChMI3fKu6KbrlQMVSjcIBR2y5iaQEAAYASAdEgJKM_D_BwE,Sold Job,7/28/2026 12:00:00 AM America/New_York,25704,USD
Cj0KCQjwsMLSBhD9ARIsAIpUTDru3EPFtiEh0Wy53lahnBXyeEuV0qe5G-qtu9QMDyE5DaPWbjGTf1MaApG5EALw_wcB,Qualified Lead,7/10/2026 2:02:00 PM America/New_York,200,USD
EAIaIQobChMIvtHC29nclQMV5V5HAR1vQy_zEAMYASAAEgIxufD_BwE,Qualified Lead,7/18/2026 1:10:00 PM America/New_York,200,USD
CjwKCAjwpefSBhBvEiwAzyEtZ2C4RUDjQwFTilDBOzyfB206sgEnlo8q1_De2hiSdWBMEzUelTgUUhoC78cQAvD_BwE,Qualified Lead,7/17/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjwpefSBhBvEiwAzyEtZ2C4RUDjQwFTilDBOzyfB206sgEnlo8q1_De2hiSdWBMEzUelTgUUhoC78cQAvD_BwE,Sold Job,7/17/2026 12:00:01 AM America/New_York,11731,USD
CjwKCAjwpefSBhBvEiwAzyEtZ8NrCCd7oGaowHj940kpGS584WkTEKy7Z0kPzEHLvLyI-U2BjpW1lxoC0EkQAvD_BwE,Qualified Lead,7/17/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjwpefSBhBvEiwAzyEtZ_IL5g4vkORrtMgmsk3UizC_ldg12Wngh2ZlQotxmGSDFsoo-jcWBhoCr9sQAvD_BwE,Qualified Lead,7/17/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjwj7HTBhBiEiwA8s35Ori9hHT2lIXDg5N8V0EgqabsXgSSliJiOyKr_UsCtvJ-nFyTr-vI1xoCTPIQAvD_BwE,Qualified Lead,7/31/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjw857RBhAgEiwAI-1yKB2f4lv5MjpuZnG41FIlqtRnEPB2YtYw8poPrmEW0n9uBbdK02mKxxoCvXoQAvD_BwE,Qualified Lead,7/1/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjw857RBhAgEiwAI-1yKB2f4lv5MjpuZnG41FIlqtRnEPB2YtYw8poPrmEW0n9uBbdK02mKxxoCvXoQAvD_BwE,Qualified Lead,7/17/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjw857RBhAgEiwAI-1yKB2f4lv5MjpuZnG41FIlqtRnEPB2YtYw8poPrmEW0n9uBbdK02mKxxoCvXoQAvD_BwE,Sold Job,7/17/2026 12:00:01 AM America/New_York,14481,USD
CjwKCAjw857RBhAgEiwAI-1yKB2f4lv5MjpuZnG41FIlqtRnEPB2YtYw8poPrmEW0n9uBbdK02mKxxoCvXoQAvD_BwE,Sold Job,7/17/2026 12:00:01 AM America/New_York,16066,USD
CjwKCAjw857RBhAgEiwAI-1yKB2f4lv5MjpuZnG41FIlqtRnEPB2YtYw8poPrmEW0n9uBbdK02mKxxoCvXoQAvD_BwE,Sold Job,7/17/2026 12:00:01 AM America/New_York,6203,USD
CjwKCAjwsfzSBhB5EiwAOGyqSVsmL5iJqvnONTt7Fb2yLUM2mXqtggLrCb20FADx0TwfgsBbZMX0KRoCX_kQAvD_BwE,Qualified Lead,7/21/2026 2:11:00 PM America/New_York,200,USD
CjwKCAjw1IHTBhAaEiwA4AYNFtrrDcPnt79Q-MSSUVGLaeCQqKSTK-np2-1Hb0MuOWTQflm-IShXDBoCAmQQAvD_BwE,Qualified Lead,7/22/2026 12:00:00 AM America/New_York,200,USD
CjwKCAjw08fSBhA7EiwAfbQTsDrP-7X5Ca4z3N_gKDYeQFCvV4PK_HFR8SgOYAikRA7rV66SWagFMRoCMwAQAvD_BwE,Qualified Lead,7/11/2026 12:00:00 AM America/New_York,200,USD
Cj0KCQjwg5zTBhCLARIsAP2AFU4xanmYiSpvozMB0P3WiaSh6n0dPgkV3ovvDJUTPk8dwD83s7NGZZAaAgThEALw_wcB,Qualified Lead,7/27/2026 12:02:56 PM America/New_York,200,USD
CjwKCAjw6rfSBhAqEiwA_yocpqxJ44RohKRxhIqUCIJvJRN7Euiyh91ax2Ofww2puzjFY70D6LraBRoCcZcQAvD_BwE,Qualified Lead,7/8/2026 12:00:00 AM America/New_York,200,USD
